"","Year","Warhead","Number","Yield"
"211",1987,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"212",1987,"AGM-28B (W28)",NA,"70-1,450Kt"
"213",1987,"AGM-69A (W69)",1140,"170-200Kt"
"214",1987,"AGM-86B (W80-1)",1614,"5-150Kt (Variable Yield)"
"215",1987,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"216",1988,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"217",1988,"AGM-28B (W28)",NA,"70-1,450Kt"
"218",1988,"AGM-69A (W69)",1140,"170-200Kt"
"219",1988,"AGM-86B (W80-1)",1614,"5-150Kt (Variable Yield)"
"220",1988,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"221",1989,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"222",1989,"AGM-28B (W28)",NA,"70-1,450Kt"
"223",1989,"AGM-69A (W69)",1100,"170-200Kt"
"224",1989,"AGM-86B (W80-1)",1600,"5-150Kt (Variable Yield)"
"225",1989,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"226",1990,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"227",1990,"AGM-28B (W28)",NA,"70-1,450Kt"
"228",1990,"AGM-69A (W69)",1100,"170-200Kt"
"229",1990,"AGM-86B (W80-1)",1600,"5-150Kt (Variable Yield)"
"230",1990,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"231",1991,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"232",1991,"AGM-28B (W28)",NA,"70-1,450Kt"
"233",1991,"AGM-69A (W69)",NA,"170-200Kt"
"234",1991,"AGM-86B (W80-1)",1600,"5-150Kt (Variable Yield)"
"235",1991,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"236",1992,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"237",1992,"AGM-28B (W28)",NA,"70-1,450Kt"
"238",1992,"AGM-69A (W69)",NA,"170-200Kt"
"239",1992,"AGM-86B (W80-1)",1100,"5-150Kt (Variable Yield)"
"240",1992,"AGM-129 (W80-1)",300,"10-1,200Kt"
"241",1993,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"242",1993,"AGM-28B (W28)",NA,"70-1,450Kt"
"243",1993,"AGM-69A (W69)",NA,"170-200Kt"
"244",1993,"AGM-86B (W80-1)",1000,"5-150Kt (Variable Yield)"
"245",1993,"AGM-129 (W80-1)",430,"10-1,200Kt"
"246",1994,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"247",1994,"AGM-28B (W28)",NA,"70-1,450Kt"
"248",1994,"AGM-69A (W69)",NA,"170-200Kt"
"249",1994,"AGM-86B (W80-1)",1000,"5-150Kt (Variable Yield)"
"250",1994,"AGM-129 (W80-1)",430,"10-1,200Kt"
"251",1995,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"252",1995,"AGM-28B (W28)",NA,"70-1,450Kt"
"253",1995,"AGM-69A (W69)",NA,"170-200Kt"
"254",1995,"AGM-86B (W80-1)",640,"5-150Kt (Variable Yield)"
"255",1995,"AGM-129 (W80-1)",430,"10-1,200Kt"
"256",1996,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"257",1996,"AGM-28B (W28)",NA,"70-1,450Kt"
"258",1996,"AGM-69A (W69)",NA,"170-200Kt"
"259",1996,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"260",1996,"AGM-129 (W80-1)",430,"10-1,200Kt"
"261",1997,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"262",1997,"AGM-28B (W28)",NA,"70-1,450Kt"
"263",1997,"AGM-69A (W69)",NA,"170-200Kt"
"264",1997,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"265",1997,"AGM-129 (W80-1)",430,"10-1,200Kt"
